Date,Symbol,High,Low,Volume
2023-09-22T00:00:00+0000,NVDA,421.15,412.31,47854640.0
2023-09-21T00:00:00+0000,NVDA,421.0,409.8,44893000.0
2023-09-20T00:00:00+0000,NVDA,439.03,422.23,36710770.0
2023-09-19T00:00:00+0000,NVDA,439.66,430.02,36825444.0
2023-09-18T00:00:00+0000,NVDA,442.42,420.0,49950900.0
2023-09-15T00:00:00+0000,NVDA,455.99,438.08,50571300.0
2023-09-14T00:00:00+0000,NVDA,459.87,451.31,36930000.0
2023-09-13T00:00:00+0000,NVDA,459.3,445.03,39730700.0
2023-09-12T00:00:00+0000,NVDA,456.73,445.31,34857300.0
2023-09-11T00:00:00+0000,NVDA,461.63,443.12,46035657.0
2023-09-08T00:00:00+0000,NVDA,466.06,452.71,47389994.0
2023-09-07T00:00:00+0000,NVDA,463.44,451.52,43332992.0
2023-09-06T00:00:00+0000,NVDA,485.49,465.8,46866961.0
2023-09-05T00:00:00+0000,NVDA,488.51,478.6,38196300.0
2023-09-01T00:00:00+0000,NVDA,498.0,481.416,46383030.0
2023-08-31T00:00:00+0000,NVDA,497.44,489.58,52695400.0
2023-08-30T00:00:00+0000,NVDA,499.27,484.25,73398600.0
2023-08-29T00:00:00+0000,NVDA,490.81,463.91,69602700.0
2023-08-28T00:00:00+0000,NVDA,469.8,448.88,68375500.0
2023-08-25T00:00:00+0000,NVDA,478.05,450.24,92359300.0
2023-08-24T00:00:00+0000,NVDA,502.66,471.59,115274400.0
2023-08-23T00:00:00+0000,NVDA,472.0,452.08,77904609.0
2023-08-22T00:00:00+0000,NVDA,481.87,453.33,75529300.0
2023-08-21T00:00:00+0000,NVDA,470.65,442.22,68498591.0
2023-08-18T00:00:00+0000,NVDA,435.78,416.6,58262200.0
2023-08-17T00:00:00+0000,NVDA,440.62,430.01,45095900.0
2023-08-16T00:00:00+0000,NVDA,446.75,434.06,52620100.0
2023-08-15T00:00:00+0000,NVDA,452.68,437.1,67493100.0
2023-08-14T00:00:00+0000,NVDA,438.0,403.11,68358200.0
2023-08-11T00:00:00+0000,NVDA,420.18,406.39,53200900.0
2023-08-10T00:00:00+0000,NVDA,435.74,418.35,49213100.0
2023-08-09T00:00:00+0000,NVDA,443.12,421.34,58474300.0
2023-08-08T00:00:00+0000,NVDA,452.42,440.56,35282200.0
2023-08-07T00:00:00+0000,NVDA,455.4,445.63,32143300.0
2023-08-04T00:00:00+0000,NVDA,456.42,443.93,36225800.0
2023-08-03T00:00:00+0000,NVDA,451.18,438.0,32417600.0
2023-08-02T00:00:00+0000,NVDA,458.4,433.87,52870200.0
2023-08-01T00:00:00+0000,NVDA,469.0,460.27,23785800.0
2023-07-31T00:00:00+0000,NVDA,471.3,465.06,25052000.0
2023-07-28T00:00:00+0000,NVDA,470.27,463.81,33039600.0
2023-07-27T00:00:00+0000,NVDA,473.95,457.5,45451000.0
2023-07-26T00:00:00+0000,NVDA,460.53,446.3,36299800.0
2023-07-25T00:00:00+0000,NVDA,461.83,449.23,34510300.0
2023-07-24T00:00:00+0000,NVDA,451.09,440.4,38251600.0
2023-07-21T00:00:00+0000,NVDA,458.66,441.0,96283200.0
2023-07-20T00:00:00+0000,NVDA,470.87,450.62,53399300.0
2023-07-19T00:00:00+0000,NVDA,478.18,467.42,42403800.0
2023-07-18T00:00:00+0000,NVDA,478.96,457.34,56916400.0
2023-07-17T00:00:00+0000,NVDA,464.96,452.62,50893700.0
2023-07-14T00:00:00+0000,NVDA,480.88,450.6,77066400.0
2023-07-13T00:00:00+0000,NVDA,461.55,444.92,47545700.0
2023-07-12T00:00:00+0000,NVDA,439.35,427.77,47936200.0
2023-07-11T00:00:00+0000,NVDA,427.58,420.67,29777500.0
2023-07-10T00:00:00+0000,NVDA,428.11,416.49,34684600.0
2023-07-07T00:00:00+0000,NVDA,432.14,421.8,35525300.0
2023-07-06T00:00:00+0000,NVDA,421.79,413.46,30358200.0
2023-07-05T00:00:00+0000,NVDA,431.77,420.85,32292800.0
2023-07-03T00:00:00+0000,NVDA,428.98,422.02,19820919.0
2023-06-30T00:00:00+0000,NVDA,425.5,415.01,50053400.0
2023-06-29T00:00:00+0000,NVDA,416.0,406.0,37356250.0
2023-06-28T00:00:00+0000,NVDA,418.45,405.18,58081700.0
2023-06-27T00:00:00+0000,NVDA,419.4,404.48,45087000.0
2023-06-26T00:00:00+0000,NVDA,427.64,401.0,59327900.0
2023-06-23T00:00:00+0000,NVDA,428.09,420.15,35632300.0
2023-06-22T00:00:00+0000,NVDA,434.26,422.34,41773700.0
2023-06-21T00:00:00+0000,NVDA,436.15,420.8,55160300.0
2023-06-20T00:00:00+0000,NVDA,439.9,426.74,45115300.0
2023-06-16T00:00:00+0000,NVDA,437.21,426.61,65475500.0
2023-06-15T00:00:00+0000,NVDA,432.89,421.47,56862200.0
2023-06-14T00:00:00+0000,NVDA,430.0,405.52,74046500.0
2023-06-13T00:00:00+0000,NVDA,411.01,397.4,61320800.0
2023-06-12T00:00:00+0000,NVDA,395.3,386.18,38870100.0
2023-06-09T00:00:00+0000,NVDA,397.11,385.67,42722000.0
2023-06-08T00:00:00+0000,NVDA,388.64,375.05,41777200.0
2023-06-07T00:00:00+0000,NVDA,394.99,373.56,51199800.0
2023-06-06T00:00:00+0000,NVDA,391.6,381.48,38872900.0
2023-06-05T00:00:00+0000,NVDA,395.65,387.07,39609400.0
2023-06-02T00:00:00+0000,NVDA,405.0,390.5801,48273121.0
2023-06-01T00:00:00+0000,NVDA,400.5,383.4,63587301.0
2023-05-31T00:00:00+0000,NVDA,402.95,378.22,100258000.0
2023-05-30T00:00:00+0000,NVDA,419.38,399.49,92340109.0
2023-05-26T00:00:00+0000,NVDA,391.7,375.5,71439680.0
2023-05-25T00:00:00+0000,NVDA,394.8,366.35,154391109.0
2023-05-24T00:00:00+0000,NVDA,306.07,298.06,72141852.0
2023-05-23T00:00:00+0000,NVDA,312.88,306.31,35625328.0
2023-05-22T00:00:00+0000,NVDA,315.2,306.8,37199969.0
2023-05-19T00:00:00+0000,NVDA,315.8,309.16,47390770.0
2023-05-18T00:00:00+0000,NVDA,318.28,303.2,74872492.0
2023-05-17T00:00:00+0000,NVDA,301.99,294.3001,43253539.0
2023-05-16T00:00:00+0000,NVDA,298.7,288.32,44940488.0
2023-05-15T00:00:00+0000,NVDA,289.69,281.52,29392590.0
2023-05-12T00:00:00+0000,NVDA,287.8,280.46,27422230.0
2023-05-11T00:00:00+0000,NVDA,289.5,282.46,32214900.0
2023-05-10T00:00:00+0000,NVDA,291.13,284.6128,36935000.0
2023-05-09T00:00:00+0000,NVDA,289.73,284.5,31486949.0
2023-05-08T00:00:00+0000,NVDA,292.2,283.5,34497887.0
2023-05-05T00:00:00+0000,NVDA,287.55,277.31,36149406.0
2023-05-04T00:00:00+0000,NVDA,278.59,272.4,32185039.0
2023-05-03T00:00:00+0000,NVDA,283.67,274.72,38338738.0
2023-05-02T00:00:00+0000,NVDA,288.3599,280.83,40272961.0
2023-05-01T00:00:00+0000,NVDA,290.5844,277.8,57032848.0
2023-04-28T00:00:00+0000,NVDA,277.58,270.71,29168700.0
2023-04-27T00:00:00+0000,NVDA,274.95,266.25,37569800.0
2023-04-26T00:00:00+0000,NVDA,273.3,267.05,40547000.0
2023-04-25T00:00:00+0000,NVDA,272.47,262.25,37289400.0
2023-04-24T00:00:00+0000,NVDA,273.66,266.71,33886500.0
2023-04-21T00:00:00+0000,NVDA,271.83,267.22,34476600.0
2023-04-20T00:00:00+0000,NVDA,280.3,270.0,42698400.0
2023-04-19T00:00:00+0000,NVDA,280.0,272.32,35750700.0
2023-04-18T00:00:00+0000,NVDA,281.1,273.57,60422300.0
2023-04-17T00:00:00+0000,NVDA,270.06,264.33,32075600.0
2023-04-14T00:00:00+0000,NVDA,268.83,262.2,39505500.0
2023-04-13T00:00:00+0000,NVDA,268.87,263.29,35297200.0
2023-04-12T00:00:00+0000,NVDA,274.68,264.48,44529900.0
2023-04-11T00:00:00+0000,NVDA,277.9,271.26,31383600.0
2023-04-10T00:00:00+0000,NVDA,276.21,266.69,39438000.0
2023-04-06T00:00:00+0000,NVDA,270.8,264.27,39765434.0
2023-04-05T00:00:00+0000,NVDA,269.98,263.95,51403400.0
2023-04-04T00:00:00+0000,NVDA,280.0,273.08,36859153.0
2023-04-03T00:00:00+0000,NVDA,280.0,273.36,39807200.0
2023-03-31T00:00:00+0000,NVDA,278.34,271.05,43324300.0
2023-03-30T00:00:00+0000,NVDA,274.99,271.02,36381900.0
2023-03-29T00:00:00+0000,NVDA,270.78,265.97,39266900.0
2023-03-28T00:00:00+0000,NVDA,265.13,258.5,35547400.0
2023-03-27T00:00:00+0000,NVDA,270.0,263.65,36049500.0
2023-03-24T00:00:00+0000,NVDA,271.67,263.55,45492000.0
2023-03-23T00:00:00+0000,NVDA,274.99,266.9,56377300.0
2023-03-22T00:00:00+0000,NVDA,275.89,262.37,79263700.0
2023-03-21T00:00:00+0000,NVDA,263.92,253.81,54631100.0
2023-03-20T00:00:00+0000,NVDA,260.24,251.3,43198400.0
2023-03-17T00:00:00+0000,NVDA,263.99,256.68,84694400.0
2023-03-16T00:00:00+0000,NVDA,255.88,238.94,58494626.0
2023-03-15T00:00:00+0000,NVDA,242.86,233.6001,52448574.0
2023-03-14T00:00:00+0000,NVDA,242.19,234.6,47431000.0
2023-03-13T00:00:00+0000,NVDA,232.9624,222.97,42189032.0
2023-03-10T00:00:00+0000,NVDA,236.27,227.26,47453200.0
2023-03-09T00:00:00+0000,NVDA,244.5389,233.8284,49451769.0
2023-03-08T00:00:00+0000,NVDA,242.0,234.235,51357339.0
2023-03-07T00:00:00+0000,NVDA,241.25,232.41,51515388.0
2023-03-06T00:00:00+0000,NVDA,242.48,234.87,43695300.0
2023-03-03T00:00:00+0000,NVDA,239.0,231.3,41168400.0
2023-03-02T00:00:00+0000,NVDA,233.8,224.32,38941500.0
2023-03-01T00:00:00+0000,NVDA,232.56,225.08,45911000.0
2023-02-28T00:00:00+0000,NVDA,238.25,232.06,45377500.0
2023-02-27T00:00:00+0000,NVDA,238.8,234.54,45253300.0
2023-02-24T00:00:00+0000,NVDA,234.74,229.47,58918100.0
2023-02-23T00:00:00+0000,NVDA,238.88,230.25,111672600.0
2023-02-22T00:00:00+0000,NVDA,211.04,204.21,50394800.0
2023-02-21T00:00:00+0000,NVDA,214.94,206.18,40905300.0
2023-02-17T00:00:00+0000,NVDA,217.4,209.75,46588764.0
2023-02-16T00:00:00+0000,NVDA,225.5,219.27,41070600.0
2023-02-15T00:00:00+0000,NVDA,228.55,221.06,42057500.0
2023-02-14T00:00:00+0000,NVDA,230.488,213.66,67547350.0
2023-02-13T00:00:00+0000,NVDA,220.48,209.62,47415900.0
2023-02-10T00:00:00+0000,NVDA,220.78,208.11,55031100.0
2023-02-09T00:00:00+0000,NVDA,230.2,221.2,52287400.0
2023-02-08T00:00:00+0000,NVDA,228.78,220.08,55895500.0
2023-02-07T00:00:00+0000,NVDA,222.59,211.5,66265900.0
2023-02-06T00:00:00+0000,NVDA,215.7,207.86,45162000.0
2023-02-03T00:00:00+0000,NVDA,217.45,207.89,42892500.0
2023-02-02T00:00:00+0000,NVDA,219.49,207.0,56427580.0
2023-02-01T00:00:00+0000,NVDA,211.92,196.11,65875700.0
2023-01-31T00:00:00+0000,NVDA,196.87,189.5,49801658.0
2023-01-30T00:00:00+0000,NVDA,201.4,191.5,48793400.0
2023-01-27T00:00:00+0000,NVDA,206.28,194.05,54163300.0
2023-01-26T00:00:00+0000,NVDA,201.66,192.78,48861100.0
2023-01-25T00:00:00+0000,NVDA,193.7,185.8,44830900.0
2023-01-24T00:00:00+0000,NVDA,194.95,188.2,49620410.0
2023-01-23T00:00:00+0000,NVDA,192.45,178.18,65436600.0
2023-01-20T00:00:00+0000,NVDA,178.56,168.25,56401600.0
2023-01-19T00:00:00+0000,NVDA,171.97,167.31,45250100.0
2023-01-18T00:00:00+0000,NVDA,178.73,172.82,43962355.0
2023-01-17T00:00:00+0000,NVDA,177.28,168.99,51019900.0
2023-01-13T00:00:00+0000,NVDA,169.22,161.65,44728706.0
2023-01-12T00:00:00+0000,NVDA,166.36,154.92,55009010.0
2023-01-11T00:00:00+0000,NVDA,160.18,155.64,35266432.0
2023-01-10T00:00:00+0000,NVDA,159.62,154.72,38352000.0
2023-01-09T00:00:00+0000,NVDA,160.56,151.41,50385300.0
2023-01-06T00:00:00+0000,NVDA,150.1,140.34,40482300.0
2023-01-05T00:00:00+0000,NVDA,145.64,141.4795,38659659.0
2023-01-04T00:00:00+0000,NVDA,148.53,142.41,43132360.0
